"freq_max","N","rank"
"(abr. de chaussures",2471,113
"administrateur judiciaire",1711,149
"affaires agent d",2682,102
"agent de change",4696,64
"ancien notaire",9030,28
"appartements meubles",2749,101
"appel avocat cour d",2487,112
"architecte",15371,9
"artiste-peintre",6749,51
"avocat",15836,8
"bains",1385,172
"banquiers",3658,79
"beurre et oeufs",2853,97
"bijoutier en or",13199,15
"bois et charbons",4006,69
"bonnetier",3191,92
"bottier",5042,61
"boucher",14903,10
"boulanger",14827,11
"boutanger",7282,44
"brocanteur",1888,138.5
"broderies",3082,93
"bronzes",1657,153
"brossier",3513,84
"cabinet de lecture",1580,158
"cafe du commerce",1773,144
"cafe-restaurant",1514,162
"cafes",1656,154
"cbeniste",2008,132
"chapelier",3590,82
"charbonnier et vins",11012,18
"charcutier",14438,12
"chaudronnier",2870,96
"chaussures",8832,32
"chef d'institution",1625,156
"chef de bat.",3271,89
"chemisier",5638,54
"chirurgien-dentiste",1679,151
"ciseleur",1458,167
"coiffeur",11153,17
"colffeur",1776,143
"comestibles",8381,35
"commissionnaire",10858,21
"confiseur",5395,56
"conseiller referendaire a la cour des comptes",3745,77.5
"conturiere",2534,110
"cordonnier",8444,34
"corroyeur",1972,135
"couleurs",2607,105
"courtier en vins",3555,83
"coutelier",1767,145
"couteurs et vernis",1986,134
"couturiere",6331,53
"cpicier",1706,150
"cpicter",2783,99
"cremicr",1372,173
"cremier",5079,59
"dentelles",1494,164
"dentiste",3316,85
"depute du nord",3600,80
"dessinateur",3834,74
"directrice de la salle d'asile",9076,27
"distillateur",2595,106
"docteur-medecin",1496,163
"doreur sur bois",4025,68
"ebeniste",9250,24
"emballeur",2130,130
"entrepreneur de maconnerie",8357,36
"epicier",32524,4
"epicter",5048,60
"estampes",1913,137
"fab. de corsets",9005,29
"fab. de dentelles",1365,174
"fab. de fleurs",10272,22
"fab. de necessaires",2141,129
"fabr. cartonnages",2763,100
"fabr. de chaussures",41232,3
"facteur de pianos",1998,133
"ferblantier",3071,94
"fleuriste",5040,62
"fondeur en cuivre",2613,104
"fournitures pour modes",2202,124
"fromages en gros",1828,142
"fruitier",2799,98
"grainetier",4038,67
"grains et fourrages",1888,138.5
"graveur sur metaux",8324,38
"h. de lettres",8258,39
"h. garni",1835,141
"herboriste",4004,70
"homme de lettres",2294,119
"horloger",8192,40
"hortoger",4467,65
"hotel garni",1486,165
"hotel meuble",1406,169
"huissier",1674,152
"imprimeur-lithographe",7099,47
"ingenieur",10935,19
"inspecteur des finances",3598,81
"institution",6768,50
"layetier",2509,111
"libraire",6930,48
"limonadier",9192,25
"lingerie",7246,45
"liquoriste",2570,107
"loueur de voitures",1479,166
"macon",4312,66
"maison meublee",2192,125
"marbrier",3244,90
"march. de meubles",3231,91
"marechal-ferrant",1533,161
"maroquinerie",2235,121
"mecanicien",6678,52
"medecin",23702,7
"medectn",2345,117
"menuisier",8946,30
"menuister",2557,108
"mercerie",13069,16
"meubles",3930,71
"miroitier",1394,171
"modes",8914,31
"negociant",3304,86.5
"negts",1745,146
"notaire",1593,157
"nourrisseur",1417,168
"nouveautes",3806,76
"opticien",2218,122
"orfevre",1737,147
"papetier",7500,43
"papiers peints",2068,131
"parapluies",2251,120
"paraptutes",2358,116
"parfumeur",2547,109
"passementier",3809,75
"patissier",6844,49
"peintre-artiste",27238,5
"pensionnat",2642,103
"pharmacien",9077,26
"plombier",2876,95
"plumassier",2416,114
"porcelaines et cristaux",1548,159
"porcetaines et cristaux",1654,155
"produits chimiques",1537,160
"professeur de piano",10926,20
"prop.",3852,73
"proprietaire",25582,6
"quincaillier",3898,72
"receveur de rentes",1874,140
"relieur",2168,127
"rentier",8325,37
"representant de commerce",8169,41
"restaurateur",7219,46
"robes",1730,148
"robes et manteaux",1399,170
"sage-femme",5096,58
"sculpteur-statuaire",5284,57
"secretaire d'ambassade",2181,126
"serrurier",10141,23
"tabac",3301,88
"tabac et vins",3304,86.5
"tabletier",2157,128
"tailleur",14293,14
"tailleurs",2331,118
"tapissier",5496,55
"teinturier-degraisseur",7541,42
"tonnelier",2394,115
"tourneur en bois",4762,63
"traiteur",2206,123
"uins",3745,77.5
"vins",63979,2
"vins en gros",8779,33
"vins-restaurant",1920,136
"vins-traiteur",14390,13
NA,106009,1
