"source.book","source.publication_date","NAICS","date_join","n","Pa","n_normalized","Pa_mean","Pa_ecart","time"
"Bottin1_1829",1829,"Administrative and Legal Services",NA,1346,NA,0.0370645738675478,NA,NA,1
"Bottin1_1833",1833,"Administrative and Legal Services",1831,1491,0.000998210106016799,0.041057414291615,7.55946206631354e-05,0.000922615485353663,2
"Lamy_1839",1839,"Administrative and Legal Services",1836,1932,0.0020239570425444,0.0532011565468815,0.00213230296413875,-0.000108345921594351,3
"Didot_1842",1842,"Administrative and Legal Services",1841,2380,0.00411216668961402,0.0655376566157235,0.000563690179741018,0.003548476509873,4
"Didot_1845",1845,"Administrative and Legal Services",1846,2243,-0.00125751525999357,0.0617651108357428,-0.00026699095481602,-0.000990524305177553,5
"Didot_1850",1850,"Administrative and Legal Services",1851,2424,0.000996833264491257,0.0667492771581991,0.00174472506821084,-0.000747891803719587,6
"Didot_1855",1855,"Administrative and Legal Services",1856,2330,-0.000517692413603194,0.0641608150901831,0.00140879034091193,-0.00192648275451512,7
"DidotBottin_1860",1860,"Administrative and Legal Services",1861,2494,0.000903208040754508,0.0686768552939557,0.00213837870870286,-0.00123517066794835,8
"DidotBottin_1864",1864,"Administrative and Legal Services",1866,2583,0.000612694478865482,0.0711276332094176,0.00159160220539464,-0.000978907726529158,9
"DidotBottin_1871",1871,"Administrative and Legal Services",1872,1911,-0.00264353572903759,0.0526228831061545,-0.00168340151390855,-0.000960134215129041,10
"DidotBottin_1875",1875,"Administrative and Legal Services",1876,2620,0.00488090320804075,0.0721464959383175,0.00630720523911641,-0.00142630203107566,11
"DidotBottin_1880",1880,"Administrative and Legal Services",1881,2584,-0.00019826517967782,0.0711551700399284,0.00174753181233939,-0.00194579699201721,12
"DidotBottin_1885",1885,"Administrative and Legal Services",1886,2530,-0.000297397769516727,0.0696681811923448,0.00214096975554387,-0.0024383675250606,13
"DidotBottin_1896",1896,"Administrative and Legal Services",1896,2442,-0.000220294644086466,0.0672449401073936,-0.00129576545971908,0.00107547081563261,14
