"time_period","date_join","NAICS","slope_t","slope_period","Dt"
"1871-1875",1876,"Administrative and Legal Services",177.25,12.962,12.67
"1871-1875",1876,"Arts, Entertainment, and Recreation",207.25,30.218,5.86
"1871-1875",1876,"Building and Car Rental",210.75,18.103,10.64
"1871-1875",1876,"Clothing and clothing accessories manufacturers/retailers",703.25,101.577,5.92
"1871-1875",1876,"Construction and Public Works",191,13.782,12.86
"1871-1875",1876,"Cosmetics, Beauty Supplies, and Perfume Retailers",94.75,17.744,4.34
"1871-1875",1876,"Educational Services",73.25,14.974,3.89
"1871-1875",1876,"Engineering Services",159.5,51.679,2.09
"1871-1875",1876,"Finance and Insurance",44.5,5.231,7.51
"1871-1875",1876,"Food stores",1425.5,210.423,5.77
"1871-1875",1876,"Full-Service Restaurants",144.5,22.795,5.34
"1871-1875",1876,"Health Practitioners",218.5,50.167,3.36
"1871-1875",1876,"Home Furniture and Supplies Manufacturers/Retailers",591,79.397,6.44
"1871-1875",1876,"Manufacturing",832,102.987,7.08
"1871-1875",1876,"No Activity, Living of Income",149.25,-23.09,7.46
"1871-1875",1876,"Other retailers",312.75,33.987,8.2
"1871-1875",1876,"Public Administration",111.75,-4.269,27.18
"1871-1875",1876,"Publishing Industries",193.5,21.064,8.19
"1871-1875",1876,"Related to Agricultural Activities",29.5,5.013,4.88
"1871-1875",1876,"Trade Agents and Brokers",110.75,40.872,1.71
"1871-1875",1876,"Wholesalers Trade",198.5,24.551,7.09
