"time_period","date_join","NAICS","slope_t","slope_period","Dt"
"1864-1871",1872,"Administrative and Legal Services",-96,12.962,-8.41
"1864-1871",1872,"Arts, Entertainment, and Recreation",-97.143,30.218,-4.21
"1864-1871",1872,"Building and Car Rental",-65.571,18.103,-4.62
"1864-1871",1872,"Clothing and clothing accessories manufacturers/retailers",-271.143,101.577,-3.67
"1864-1871",1872,"Construction and Public Works",-92,13.782,-7.68
"1864-1871",1872,"Cosmetics, Beauty Supplies, and Perfume Retailers",-41,17.744,-3.31
"1864-1871",1872,"Educational Services",-28.143,14.974,-2.88
"1864-1871",1872,"Engineering Services",-37.714,51.679,-1.73
"1864-1871",1872,"Finance and Insurance",-4.286,5.231,-1.82
"1864-1871",1872,"Food stores",-155.286,210.423,-1.74
"1864-1871",1872,"Full-Service Restaurants",55.571,22.795,1.44
"1864-1871",1872,"Health Practitioners",-53,50.167,-2.06
"1864-1871",1872,"Home Furniture and Supplies Manufacturers/Retailers",-307.714,79.397,-4.88
"1864-1871",1872,"Manufacturing",-166.143,102.987,-2.61
"1864-1871",1872,"No Activity, Living of Income",-104,-23.09,-3.5
"1864-1871",1872,"Other retailers",-110.857,33.987,-4.26
"1864-1871",1872,"Public Administration",-14.429,-4.269,-2.38
"1864-1871",1872,"Publishing Industries",-70.429,21.064,-4.34
"1864-1871",1872,"Related to Agricultural Activities",-2.286,5.013,-1.46
"1864-1871",1872,"Trade Agents and Brokers",24.571,40.872,-0.4
"1864-1871",1872,"Wholesalers Trade",-69.429,24.551,-3.83
